Variant,Classificação,Falhas,Execuções,Teste,Tempo médio (s)
2,revealing,45,100,us.bpsm.edn.examples.SimpleParserConfigTest#test,1.2680
3,revealing,57,100,us.bpsm.edn.examples.SimpleParserConfigTest#test,1.3195
4,revealing,48,100,us.bpsm.edn.parser.ParserTest#integersParseAsLongByDefault,1.3122
5,non_revealing,100,100,us.bpsm.edn.parser.ScannerTest#floatWithFractionAndExponent,1.3422
6,non_revealing,100,100,us.bpsm.edn.parser.ScannerTest#floatWithFractionAndExponent,1.3017
7,non_revealing,0,100,us.bpsm.edn.printer.PrinterTest#testLoosePrinter,1.3031
8,non_revealing,100,100,us.bpsm.edn.parser.ScannerTest#floatWithFraction,1.2051
9,non_revealing,100,100,us.bpsm.edn.EdnFormatTest#commaIsWhitespace,1.1558
10,revealing,45,100,us.bpsm.edn.EdnFormatTest#commaIsWhitespace,1.3339
11,revealing,28,100,us.bpsm.edn.parser.ParserTest#canCustomizeParsingOfInteger,1.3734
12,revealing,56,100,us.bpsm.edn.printer.PrinterTest#testLoosePrinter,1.4212
13,non_revealing,0,100,us.bpsm.edn.printer.PrinterTest#testLoosePrinter,1.4482
14,revealing,54,100,us.bpsm.edn.protocols.C3Test#testMroExample3,1.4482
15,revealing,51,100,us.bpsm.edn.protocols.C3Test#testMroExample3,1.4467
16,non_revealing,100,100,us.bpsm.edn.parser.ScannerTest#leadingZeroOnFloat,1.4588
17,revealing,49,100,us.bpsm.edn.protocols.C3Test#testMroExample3,1.6355
18,revealing,61,100,us.bpsm.edn.protocols.C3Test#testMroExample1,1.6117
19,revealing,56,100,us.bpsm.edn.protocols.C3Test#testMroExample3,1.4759
20,non_revealing,100,100,us.bpsm.edn.parser.ScannerTest#leadingZeroOnFloat,1.5272
21,non_revealing,100,100,us.bpsm.edn.parser.ScannerTest#leadingZeroOnFloat,1.5366
22,revealing,94,100,us.bpsm.edn.SerializabilityTest#testSerializability,1.4964
23,revealing,48,100,us.bpsm.edn.printer.PrinterTest#testLoosePrinter,1.4600
24,non_revealing,100,100,us.bpsm.edn.EdnFormatTest#floats,1.4619
25,non_revealing,100,100,us.bpsm.edn.EdnFormatTest#floats,1.2538
26,non_revealing,0,100,us.bpsm.edn.EdnFormatTest#floats,1.2593
27,non_revealing,0,100,us.bpsm.edn.EdnFormatTest#floats,1.2582
28,revealing,47,100,us.bpsm.edn.protocols.C3Test#testArrayList,1.2610
29,revealing,51,100,us.bpsm.edn.protocols.C3Test#testMroExample3,1.2611
30,revealing,47,100,us.bpsm.edn.protocols.C3Test#testMroExample3,1.2642
31,revealing,51,100,us.bpsm.edn.protocols.C3Test#testMroExample3,1.2499
32,non_revealing,100,100,us.bpsm.edn.parser.ScannerTest#floatWithExponent,1.2536
33,revealing,41,100,us.bpsm.edn.protocols.C3Test#testMroExample3,1.2503
34,non_revealing,100,100,us.bpsm.edn.EdnFormatTest#floats,1.2576
35,non_revealing,100,100,us.bpsm.edn.EdnFormatTest#floats,1.2513
36,non_revealing,100,100,us.bpsm.edn.EdnFormatTest#floats,1.2501
37,non_revealing,100,100,us.bpsm.edn.parser.ParserTest#parseEdnSample,1.2598
38,non_revealing,100,100,us.bpsm.edn.EdnFormatTest#floats,1.2428
39,non_revealing,100,100,us.bpsm.edn.EdnFormatTest#floats,1.2449
40,non_revealing,0,100,us.bpsm.edn.parser.ParserTest#parseEdnSample,1.2592
41,non_revealing,0,100,us.bpsm.edn.parser.ParserTest#canCustomizeParsingOfFloats,1.2538
42,non_revealing,100,100,us.bpsm.edn.parser.ParserTest#canCustomizeParsingOfFloats,1.2580
43,revealing,42,100,us.bpsm.edn.printer.PrinterTest#testDefaultPrinter,1.2553
44,revealing,46,100,us.bpsm.edn.parser.ParserTest#canCustomizeParsingOfFloats,1.2525
45,revealing,52,100,us.bpsm.edn.protocols.C3Test#testMroExample2,1.2478
46,revealing,59,100,us.bpsm.edn.printer.PrinterTest#testPrettyPrinting,1.2439
47,revealing,51,100,us.bpsm.edn.printer.PrinterTest#testPrettyPrinting,1.2537
48,revealing,54,100,us.bpsm.edn.protocols.C3Test#testMroExample3,1.2517
49,revealing,56,100,us.bpsm.edn.printer.PrinterTest#testDefaultPrinter,1.2502
50,revealing,48,100,us.bpsm.edn.parser.ParserTest#integersAutoPromoteToBigIfTooBig,1.2519
51,revealing,59,100,us.bpsm.edn.protocols.C3Test#objectIsFinalInOrder,1.2518
52,revealing,51,100,us.bpsm.edn.parser.ParserTest#parseEdnSample,1.2588
53,revealing,50,100,us.bpsm.edn.parser.ParserTest#parseEdnSample,1.2599
