variant_id,patch,operator,location,first_failure,failures,failure_rate,missing,executions
2,1,ShuffleCollectionOp,us.bpsm.edn.examples.SimpleParserConfigTest,1,6,0.6,0,XXXXX...X.
11,5,ShuffleCollectionOp,us.bpsm.edn.parser.ParserTest,1,5,0.5,0,XX...XXX..
14,7,ShuffleCollectionOp,us.bpsm.edn.protocols.C3Test,1,8,0.8,0,XXXX.XX.XX
17,9,ShuffleCollectionOp,us.bpsm.edn.protocols.C3Test,1,4,0.4,0,XXX.....X.
18,10,ShuffleCollectionOp,us.bpsm.edn.protocols.C3Test,1,6,0.6,0,X.X.XXXX..
22,12,ShuffleCollectionOp,us.bpsm.edn.SerializabilityTest,1,9,0.9,0,XXXXXXXX.X
23,13,ShuffleCollectionOp,us.bpsm.edn.printer.PrinterTest,1,7,0.7,0,XX.XX..XXX
28,14,ShuffleCollectionOp,us.bpsm.edn.protocols.C3Test,1,5,0.5,0,XX...X.X.X
44,20,ShuffleCollectionOp,us.bpsm.edn.parser.ParserTest,1,4,0.4,0,XXX...X...
45,21,ShuffleCollectionOp,us.bpsm.edn.protocols.C3Test,1,7,0.7,0,XX.XX.XX.X
46,22,ShuffleCollectionOp,us.bpsm.edn.printer.PrinterTest,1,7,0.7,0,XXXX..XXX.
49,25,ShuffleCollectionOp,us.bpsm.edn.printer.PrinterTest,1,8,0.8,0,XX.XXXXX.X
51,27,ShuffleCollectionOp,us.bpsm.edn.protocols.C3Test,1,6,0.6,0,XXX..X.X.X
53,29,ShuffleCollectionOp,us.bpsm.edn.parser.ParserTest,1,5,0.5,0,XX...XX..X
3,2,ShuffleCollectionOp,us.bpsm.edn.examples.SimpleParserConfigTest,2,7,0.7,0,.XXX.XX.XX
4,3,ShuffleCollectionOp,us.bpsm.edn.parser.ParserTest,2,4,0.4,0,.X....X.XX
10,4,ShuffleCollectionOp,us.bpsm.edn.EdnFormatTest,2,7,0.7,0,.XXXXXXX..
12,6,ShuffleCollectionOp,us.bpsm.edn.printer.PrinterTest,2,5,0.5,0,.X.XX..X.X
15,8,ShuffleCollectionOp,us.bpsm.edn.protocols.C3Test,2,5,0.5,0,.XX.XX.X..
19,11,ShuffleCollectionOp,us.bpsm.edn.protocols.C3Test,2,4,0.4,0,.X..XX.X..
30,16,ShuffleCollectionOp,us.bpsm.edn.protocols.C3Test,2,7,0.7,0,.XXXX.XX.X
31,17,ShuffleCollectionOp,us.bpsm.edn.protocols.C3Test,2,6,0.6,0,.XX.X.XXX.
43,19,ShuffleCollectionOp,us.bpsm.edn.printer.PrinterTest,2,5,0.5,0,.X.XX.XX..
47,23,ShuffleCollectionOp,us.bpsm.edn.printer.PrinterTest,2,4,0.4,0,.XX....XX.
29,15,ShuffleCollectionOp,us.bpsm.edn.protocols.C3Test,3,5,0.5,0,..X..XXXX.
33,18,ShuffleCollectionOp,us.bpsm.edn.protocols.C3Test,3,5,0.5,0,..XX.XX..X
48,24,ShuffleCollectionOp,us.bpsm.edn.protocols.C3Test,3,4,0.4,0,..X.X..XX.
50,26,ShuffleCollectionOp,us.bpsm.edn.parser.ParserTest,3,7,0.7,0,..XXXXX.XX
52,28,ShuffleCollectionOp,us.bpsm.edn.parser.ParserTest,3,4,0.4,0,..X.X.XX..
