Variant,Classificação,Falhas,Execuções,Teste,Tempo médio (s)
2,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#specificCaseForEachThresholdValue,2.5151
3,non_revealing,0,100,com.networknt.schema.UriMappingTest#testValidatorConfigUriMappingUri,2.6728
4,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#allInOneAproachTimeEstimate,2.6264
6,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#specificCaseForEachThresholdValue,2.7169
7,non_revealing,0,100,com.networknt.schema.Issue471Test#shouldFailV201909_with_enUS,2.5956
8,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#specificCaseForEachThresholdValue,2.5557
9,non_revealing,0,100,com.networknt.schema.MaximumValidatorPerfTest#testTime,2.5139
10,non_revealing,0,100,com.networknt.schema.UriMappingTest#testValidatorConfigExampleMappings,2.6957
11,non_revealing,0,100,com.networknt.schema.Issue471Test#shouldFailV201909_with_zhCN,2.2070
13,non_revealing,0,100,com.networknt.schema.Issue375Test#shouldFailAndShowValidationValuesWithError,2.3483
15,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#allInOneAproachTimeEstimate,2.1942
16,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#allInOneAproachTimeEstimate,2.1905
17,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#allInOneAproachTimeEstimate,2.2006
18,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#allInOneAproachTimeEstimate,2.1916
19,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#allInOneAproachTimeEstimate,2.1877
20,non_revealing,0,100,com.networknt.schema.UriMappingTest#testMappingsForRef,2.3321
21,non_revealing,0,100,com.networknt.schema.MaximumValidatorTest#negativeDoubleOverflowTest,2.3449
22,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#currentTimeEstimate,2.1941
23,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#currentTimeEstimate,2.1871
24,non_revealing,0,100,com.networknt.schema.UriMappingTest#testBuilderUriMappingUri,2.3219
25,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#currentTimeEstimate,2.1849
26,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#currentTimeEstimate,2.1920
27,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#currentTimeEstimate,2.1899
28,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#noMixinsIntegralTimeEstimate,2.1734
29,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#noMixinsIntegralTimeEstimate,2.1613
30,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#noMixinsIntegralTimeEstimate,2.1613
32,non_revealing,0,100,com.networknt.schema.Issue396Test#testComplexPropertyNamesV7,2.3037
33,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#noMixinsIntegralTimeEstimate,2.1689
34,premature,100,100,com.networknt.schema.MaximumValidatorTest#negativeInteger,
35,premature,100,100,com.networknt.schema.MaximumValidatorTest#negativeInteger,
36,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#noMixinsFloatingTimeEstimate,2.1554
37,non_revealing,0,100,com.networknt.schema.MinimumValidatorTest#negativeDoubleOverflowTest,2.3036
38,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#noMixinsFloatingTimeEstimate,2.1710
39,non_revealing,0,100,com.networknt.schema.Issue396Test#testComplexPropertyNamesV7,2.3144
40,non_revealing,0,100,com.networknt.schema.Issue396Test#testComplexPropertyNamesV7,2.3152
41,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#noMixinsFloatingTimeEstimate,2.1612
42,non_revealing,0,100,com.networknt.schema.SpecVersionTest#testGetVersionValue,2.1723
43,non_revealing,0,100,com.networknt.schema.MinimumValidatorTest#negativeDoubleOverflowTest,2.3102
44,non_revealing,0,100,com.networknt.schema.MaximumValidatorTest#negativeDoubleOverflowTest,2.3181
45,non_revealing,0,100,com.networknt.schema.UriMappingTest#testBuilderExampleMappings,2.5530
46,non_revealing,0,100,com.networknt.schema.ThresholdMixinPerfTest#currentTimeEstimate,2.1702
